language,our_family,glottocode,glottolog_name,glottolog_family,status
Eastern Katu,Austroasiatic,east1236,Eastern Katu,Austroasiatic,OK
Pacoh,Austroasiatic,paco1243,Pacoh,Austroasiatic,OK
Bahnar,Austroasiatic,bahn1262,Bahnar,Austroasiatic,OK
Sedang,Austroasiatic,seda1262,Sedang,Austroasiatic,OK
Hrê,Austroasiatic,hree1244,Hre,Austroasiatic,OK
Khmer,Austroasiatic,cent1989,Central Khmer,Austroasiatic,MANUAL
Mon,Austroasiatic,monn1252,Mon,Austroasiatic,OK
Eastern Lawa,Austroasiatic,east2330,Eastern Lawa,Austroasiatic,OK
Western Lawa,Austroasiatic,west2396,Western Lawa,Austroasiatic,OK
Santali,Austroasiatic,sant1410,Santali,Austroasiatic,OK
Amis,Austronesian,amis1246,Amis,Austronesian,OK
Puyuma,Austronesian,puyu1239,Puyuma,Austronesian,OK
Aklanon,Austronesian,akla1240,Aklanon,Austronesian,OK
Asi,Austronesian,bant1288,Bantoanon,Austronesian,MANUAL
Central Bikol,Austronesian,cent2087,Coastal-Naga Bikol,Austronesian,MANUAL
Rinconada Bikol,Austronesian,irig1242,Iriga Bicolano,Austronesian,MANUAL
Cebuano,Austronesian,cebu1242,Cebuano,Austronesian,OK
Hiligaynon,Austronesian,hili1240,Hiligaynon,Austronesian,OK
Ilocano,Austronesian,ilok1237,Iloko,Austronesian,MANUAL
Kinaray-a,Austronesian,kina1250,Kinaray-a,Austronesian,OK
Iranun,Austronesian,iran1262,Iranun,Austronesian,OK
Maguindanao,Austronesian,magu1243,Maguindanao,Austronesian,OK
Western Bukidnon Manobo,Austronesian,west2555,Western Bukidnon Manobo,Austronesian,OK
Maranao,Austronesian,mara1404,Maranao,Austronesian,OK
Tagalog,Austronesian,taga1270,Tagalog,Austronesian,OK
Tausug,Austronesian,taus1251,Tausug,Austronesian,OK
Waray-Waray,Austronesian,wara1300,Waray (Philippines),Austronesian,MANUAL
Yakan,Austronesian,yaka1277,Yakan,Austronesian,OK
Malay,Austronesian,mala1492,Malay (Ati),Austronesian,OK
Brunei Malay,Austronesian,brun1243,Brunei Malay,Austronesian,OK
Indonesian,Austronesian,indo1316,Standard Indonesian,Austronesian,MANUAL
Iban,Austronesian,iban1264,Iban,Austronesian,OK
Minangkabau,Austronesian,mina1268,Minangkabau,Austronesian,OK
Eastern Cham,Austronesian,east2563,Eastern Cham,Austronesian,OK
Jarai,Austronesian,jara1266,Jarai,Austronesian,OK
Acehnese,Austronesian,achi1257,Acehnese,Austronesian,OK
Balinese,Austronesian,bali1278,Balinese,Austronesian,OK
Lampung Api,Austronesian,lamp1243,Lampung Api,Austronesian,OK
Madurese,Austronesian,nucl1460,Madurese,Austronesian,OK
Sasak,Austronesian,sasa1249,Sasak,Austronesian,OK
Bakung,Austronesian,baku1265,Bakung Kenyah,Bookkeeping,MANUAL
Balantak,Austronesian,bala1315,Balantak,Austronesian,OK
Karo Batak,Austronesian,bata1293,Batak Karo,Austronesian,MANUAL
Toba Batak,Austronesian,bata1289,Batak Toba,Austronesian,MANUAL
Bau Bidayuh,Austronesian,baub1235,Bau-Jagoi Bidayuh,Austronesian,MANUAL
Buginese,Austronesian,bugi1244,Buginese,Austronesian,OK
Old Javanese,Austronesian,kawi1241,Kawi,Austronesian,MANUAL
Javanese,Austronesian,java1254,Javanese,Austronesian,OK
Kelabit,Austronesian,kela1258,Kelabit,Austronesian,OK
Lun Bawang,Austronesian,lunb1237,Lun Bawang,Austronesian,OK
Makasar,Austronesian,maka1311,Makasar,Austronesian,OK
Mandar,Austronesian,mand1442,Mandar,Austronesian,OK
Central Melanau,Austronesian,cent2101,Central Melanau,Austronesian,OK
Mentawai,Austronesian,ment1249,Mentawai,Austronesian,OK
Ngaju,Austronesian,ngaj1237,Ngaju,Austronesian,OK
Palu'e,Austronesian,palu1252,Palu'e,Austronesian,OK
Sundanese,Austronesian,sund1252,Sundanese,Austronesian,OK
Tae',Austronesian,taee1237,Tae',Austronesian,OK
Tajio,Austronesian,taji1246,Tajio,Austronesian,OK
Chamorro,Austronesian,cham1312,Chamorro,Austronesian,OK
Palauan,Austronesian,pala1344,Palauan,Austronesian,OK
Anuta,Austronesian,anut1237,Anuta,Austronesian,OK
Fijian,Austronesian,fiji1243,Fijian,Austronesian,OK
Hawaiian,Austronesian,hawa1245,Hawaiian,Austronesian,OK
Kilivila,Austronesian,kili1267,Kilivila,Austronesian,OK
Māori,Austronesian,maor1246,Maori,Austronesian,OK
Marshallese,Austronesian,mars1254,Marshallese,Austronesian,OK
Mwotlap,Austronesian,motl1237,Mwotlap,Austronesian,OK
Niuean,Austronesian,niue1239,Niuean,Austronesian,OK
Fwâi,Austronesian,fwai1237,Fwâi,Austronesian,OK
Jawe,Austronesian,jawe1237,Jawe,Austronesian,OK
Nemi,Austronesian,nemi1240,Nemi,Austronesian,OK
Pije,Austronesian,pije1237,Pije,Austronesian,OK
Vurës,Austronesian,vure1239,Vurës,Austronesian,OK
Rapa Nui,Austronesian,rapa1244,Rapanui,Austronesian,MANUAL
Rotuman,Austronesian,rotu1241,Rotuman,Austronesian,OK
Samoan,Austronesian,samo1305,Samoan,Austronesian,OK
Tahitian,Austronesian,tahi1242,Tahitian,Austronesian,OK
Tetum,Austronesian,tetu1245,Tetum,Austronesian,OK
Tokelauan,Austronesian,toke1240,Tokelau,Austronesian,MANUAL
Tongan,Austronesian,tong1325,Tonga (Tonga Islands),Austronesian,MANUAL
Ternate,Papuan (geographic cover term — several unrelated families),tern1247,Ternate,North Halmahera,AREAL
Tidore,Papuan (geographic cover term — several unrelated families),tido1248,Tidore,North Halmahera,AREAL
West Makian,Papuan (geographic cover term — several unrelated families),west2600,West Makian,North Halmahera,AREAL
Fataluku,Papuan (geographic cover term — several unrelated families),fata1247,Fataluku,Timor-Alor-Pantar,AREAL
